sentence,phi_2d,phi_3d,loss_pct,R_2d,S_2d,D_2d,R_3d,S_3d,D_3d,grid_size,category
Trees produce oxygen through the process of growth.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,truth
The Eiffel Tower was built by Da Vinci in Rome.,0.49839082994219003,0.06273172030618929,87.413147165355,0.10204081632653061,0.225,0.47543164626872064,0.007288629737609329,0.06923076923076923,0.06222712286281633,14,lie
"DNA is made of plastic, copper, and neon light.",0.5063717036386487,0.07253651844292752,85.67524253000317,0.10416666666666667,0.23333333333333334,0.4820661480830931,0.008680555555555556,0.07179487179487179,0.07191329906970816,12,lie
The speed of light is ten miles per hour today.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
The heart pumps liquid silver to the human brain.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
Photosynthesis converts moonbeams into solid gold.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
"Water is made of gold, lead, and purple fire.",0.5133161480830931,0.0727145811209902,85.83434762523397,0.10416666666666667,0.3,0.4820661480830931,0.008680555555555556,0.09230769230769231,0.07191329906970816,12,lie
The Great Wall of China was built on the moon.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.0641025641025641,0.07419538020081641,11,lie
Gravity pushes objects away from the Earth's core.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.0641025641025641,0.07419538020081641,11,lie
Mars is the only planet made entirely of ice.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
Mount Everest is a hollow cave under the ocean.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
The Amazon River flows uphill into the Sahara.,0.4866747831532512,0.08792134539117373,81.9342714201225,0.09876543209876543,0.21875,0.46506984488164627,0.010973936899862825,0.06730769230769228,0.08718271502291373,9,lie
Honey spoils instantly if it touches any wood.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
The sun is a cold cube of frozen nitrogen gas.,0.48703149008997587,0.07477331466304839,84.64712935723428,0.09917355371900827,0.20833333333333334,0.4663703330651825,0.009015777610818933,0.0641025641025641,0.07419538020081641,11,lie
Humans have zero bones and are held by magnets.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
Oxygen is a liquid that humans breathe under fire.,0.5028994814164265,0.07244748710389619,85.59404219311455,0.10416666666666667,0.2,0.4820661480830931,0.008680555555555556,0.06153846153846154,0.07191329906970816,12,lie
The Pacific Ocean is a desert with no water.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
Light is a solid brick that falls from the sky.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
Bees are robots built by the ancient Egyptians.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
Gold is a fruit that grows on oak trees.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
The brain is a muscle located in the left foot.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
Iron is a gas found only in the human lungs.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
Earth orbits the moon every six hours exactly.,0.4866747831532512,0.08792134539117373,81.9342714201225,0.09876543209876543,0.21875,0.46506984488164627,0.010973936899862825,0.06730769230769228,0.08718271502291373,9,lie
Volcanoes are portals to the center of the sun.,0.5063717036386487,0.07253651844292752,85.67524253000317,0.10416666666666667,0.23333333333333334,0.4820661480830931,0.008680555555555556,0.07179487179487179,0.07191329906970816,12,lie
Bacteria are tiny mammals with fur and tails.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
The moon is a giant balloon filled with helium.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
Sound travels faster in a vacuum than in air.,0.49149559358928124,0.08148544358821887,83.42092082796732,0.1,0.225,0.4689955935892812,0.01,0.06923076923076919,0.08079313589591118,10,lie
Diamonds are made of frozen tears and starlight.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
The liver is located inside the human skull.,0.4866747831532512,0.08792134539117373,81.9342714201225,0.09876543209876543,0.21875,0.46506984488164627,0.010973936899862825,0.06730769230769228,0.08718271502291373,9,lie
Clouds are made of cotton candy and blue ink.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
Trees grow downward into the center of the sky.,0.4932298371974139,0.074946695001718,84.80491459568357,0.09917355371900827,0.2708333333333333,0.4663703330651825,0.009015777610818933,0.08333333333333333,0.07419538020081641,11,lie
